Country/Region,Province/State,Date,Confirmed,Recovered,Deaths,Continents
Afghanistan,Others,2020-02-24,1,0,0,Asia
Afghanistan,Others,2020-02-25,1,0,0,Asia
Afghanistan,Others,2020-02-26,1,0,0,Asia
Afghanistan,Others,2020-02-27,1,0,0,Asia
Afghanistan,Others,2020-02-28,1,0,0,Asia
Afghanistan,Others,2020-02-29,1,0,0,Asia
Afghanistan,Others,2020-03-01,1,0,0,Asia
Afghanistan,Others,2020-03-02,1,0,0,Asia
Afghanistan,Others,2020-03-03,1,0,0,Asia
Afghanistan,Others,2020-03-04,1,0,0,Asia
Afghanistan,Others,2020-03-05,1,0,0,Asia
Afghanistan,Others,2020-03-06,1,0,0,Asia
Afghanistan,Others,2020-03-07,1,0,0,Asia
Afghanistan,Others,2020-03-08,4,0,0,Asia
Afghanistan,Others,2020-03-09,4,0,0,Asia
Afghanistan,Others,2020-03-10,5,0,0,Asia
Afghanistan,Others,2020-03-11,7,0,0,Asia
Afghanistan,Others,2020-03-12,7,0,0,Asia
Afghanistan,Others,2020-03-13,7,0,0,Asia
Afghanistan,Others,2020-03-14,11,0,0,Asia
Afghanistan,Others,2020-03-15,16,0,0,Asia
Afghanistan,Others,2020-03-16,21,1,0,Asia
Afghanistan,Others,2020-03-17,22,1,0,Asia
Afghanistan,Others,2020-03-18,22,1,0,Asia
Afghanistan,Others,2020-03-19,22,1,0,Asia
Afghanistan,Others,2020-03-20,24,1,0,Asia
Afghanistan,Others,2020-03-21,24,1,0,Asia
Afghanistan,Others,2020-03-22,40,1,1,Asia
Afghanistan,Others,2020-03-23,40,1,1,Asia
Afghanistan,Others,2020-03-24,74,1,1,Asia
Afghanistan,Others,2020-03-25,84,2,2,Asia
Afghanistan,Others,2020-03-26,94,2,4,Asia
Afghanistan,Others,2020-03-27,110,2,4,Asia
Afghanistan,Others,2020-03-28,110,2,4,Asia
Afghanistan,Others,2020-03-29,120,2,4,Asia
Afghanistan,Others,2020-03-30,170,2,4,Asia
Afghanistan,Others,2020-03-31,174,5,4,Asia
Afghanistan,Others,2020-04-01,237,5,4,Asia
Afghanistan,Others,2020-04-02,273,10,6,Asia
Afghanistan,Others,2020-04-03,281,10,6,Asia
Afghanistan,Others,2020-04-04,299,10,7,Asia
Afghanistan,Others,2020-04-05,349,15,7,Asia
Afghanistan,Others,2020-04-06,367,18,11,Asia
Afghanistan,Others,2020-04-07,423,18,14,Asia
Afghanistan,Others,2020-04-08,444,29,14,Asia
Afghanistan,Others,2020-04-09,484,32,15,Asia
Afghanistan,Others,2020-04-10,521,32,15,Asia
Albania,Others,2020-03-09,2,0,0,Europe
Albania,Others,2020-03-10,10,0,0,Europe
Albania,Others,2020-03-11,12,0,1,Europe
Albania,Others,2020-03-12,23,0,1,Europe
Albania,Others,2020-03-13,33,0,1,Europe
Albania,Others,2020-03-14,38,0,1,Europe
Albania,Others,2020-03-15,42,0,1,Europe
Albania,Others,2020-03-16,51,0,1,Europe
Albania,Others,2020-03-17,55,0,1,Europe
Albania,Others,2020-03-18,59,0,2,Europe
Albania,Others,2020-03-19,64,0,2,Europe
Albania,Others,2020-03-20,70,0,2,Europe
Albania,Others,2020-03-21,76,2,2,Europe
Albania,Others,2020-03-22,89,2,2,Europe
Albania,Others,2020-03-23,104,2,4,Europe
Albania,Others,2020-03-24,123,10,5,Europe
Albania,Others,2020-03-25,146,17,5,Europe
Albania,Others,2020-03-26,174,17,6,Europe
Albania,Others,2020-03-27,186,31,8,Europe
Albania,Others,2020-03-28,197,31,10,Europe
Albania,Others,2020-03-29,212,33,10,Europe
Albania,Others,2020-03-30,223,44,11,Europe
Albania,Others,2020-03-31,243,52,15,Europe
Albania,Others,2020-04-01,259,67,15,Europe
Albania,Others,2020-04-02,277,76,16,Europe
Albania,Others,2020-04-03,304,89,17,Europe
Albania,Others,2020-04-04,333,99,20,Europe
Albania,Others,2020-04-05,361,104,20,Europe
Albania,Others,2020-04-06,377,116,21,Europe
Albania,Others,2020-04-07,383,131,22,Europe
Albania,Others,2020-04-08,400,154,22,Europe
Albania,Others,2020-04-09,409,165,23,Europe
Albania,Others,2020-04-10,416,182,23,Europe
Algeria,Others,2020-02-25,1,0,0,Africa
Algeria,Others,2020-02-26,1,0,0,Africa
Algeria,Others,2020-02-27,1,0,0,Africa
Algeria,Others,2020-02-28,1,0,0,Africa
Algeria,Others,2020-02-29,1,0,0,Africa
Algeria,Others,2020-03-01,1,0,0,Africa
Algeria,Others,2020-03-02,3,0,0,Africa
Algeria,Others,2020-03-03,5,0,0,Africa
Algeria,Others,2020-03-04,12,0,0,Africa
Algeria,Others,2020-03-05,12,0,0,Africa
Algeria,Others,2020-03-06,17,0,0,Africa
Algeria,Others,2020-03-07,17,0,0,Africa
Algeria,Others,2020-03-08,19,0,0,Africa
Algeria,Others,2020-03-09,20,0,0,Africa
Algeria,Others,2020-03-10,20,0,0,Africa
Algeria,Others,2020-03-11,20,0,0,Africa
Algeria,Others,2020-03-12,24,8,1,Africa
Algeria,Others,2020-03-13,26,8,2,Africa
Algeria,Others,2020-03-14,37,12,3,Africa
Algeria,Others,2020-03-15,48,12,4,Africa
Algeria,Others,2020-03-16,54,12,4,Africa
Algeria,Others,2020-03-17,60,12,4,Africa
Algeria,Others,2020-03-18,74,12,7,Africa
Algeria,Others,2020-03-19,87,32,9,Africa
Algeria,Others,2020-03-20,90,32,11,Africa
Algeria,Others,2020-03-21,139,32,15,Africa
Algeria,Others,2020-03-22,201,65,17,Africa
Algeria,Others,2020-03-23,230,65,17,Africa
Algeria,Others,2020-03-24,264,24,19,Africa
